20000,0.00049686
20025,0.00059813
20050,0.00073589
20075,0.00093059
20100,0.0012196
20125,0.0016768
20150,0.0024665
20175,0.004014
20200,0.0077037
20225,0.019966
20250,0.080096
20275,0.053693
20300,0.014802
20325,0.0065371
20350,0.0038519
20375,0.0027674
20400,0.0023493
20425,0.002339
20450,0.0027387
20475,0.0038123
20500,0.0064785
20525,0.014006
20550,0.032146
20575,0.024875
20600,0.010127
20625,0.0049061
20650,0.0028437
20675,0.0018566
20700,0.0013131
20725,0.00098235
20750,0.00076578
20775,0.00061591
20800,0.0005076
20825,0.00042659
20850,0.00036426
20875,0.00031518
20900,0.00027577
20925,0.0002436
20950,0.00021696
20975,0.00019461
21000,0.00017567
